,,,Party,Won,Total,,,,
,,,Telugu Desam - TDP,135,135,,,,
,,,Janasena Party - JnP,21,21,,,,
,,,Yuvajana Sramika Rythu Congress Party - YSRCP,11,11,,,,
,,,Bharatiya Janata Party - BJP,8,8,,,,
,,,,,,,,,
,,,Total,175,175,,,,
,,,,,,,,,
Constituency,Const.no,Leading Candidate,Leading Party,Total party won seats,"Trailing Candidate	",Trailing Party,Total party won seats,Margin,Rounds
Achanta,56,SATYANARAYANA PITHANI,Telugu Desam,135,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,11,26554,14/14
Addanki,105,GOTTIPATI RAVI KUMAR,Telugu Desam,135,CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,11,24890,22/22
Adoni,146,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,8,Y. SAI PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,11,18164,19/19
Allagadda,134,AKHILA PRIYA BHUMA,Telugu Desam,135,BRIJENDRA REDDY GANGULA (NANI),Yuvajana Sramika Rythu Congress Party,11,12037,22/22
Alur,147,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,11,B. VEERABHADRA GOWD,Telugu Desam,135,2831,21/21
Amadalavalasa,6,KOONA RAVI KUMAR,Telugu Desam,135,THAMMINENI SEETARAM,Yuvajana Sramika Rythu Congress Party,11,35032,19/19
Amalapuram,44,AITHABATHULA ANANDARAO,Telugu Desam,135,VISWARUPU PINIPE,Yuvajana Sramika Rythu Congress Party,11,38628,17/17
Anakapalle,30,KONATHALA RAMAKRISHNA,Janasena Party,21,BHARATH KUMAR MALASALA,Yuvajana Sramika Rythu Congress Party,11,65764,19/19
Anantapur Urban,153,DAGGUPATI PRASAD,Telugu Desam,135,ANANTHA VENKATARAMI REDDY,Yuvajana Sramika Rythu Congress Party,11,23023,21/21
Anaparthy,40,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,8,DOCTOR.SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,11,20850,17/17
Araku Valley,28,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress Party,11,RAJARAO PANGI,Bharatiya Janata Party,8,31877,23/23
Atmakur,115,ANAM.RAMANARAYANA REDDY,Telugu Desam,135,MEKAPATI VIKRAM REDDY,Yuvajana Sramika Rythu Congress Party,11,7576,22/22
Avanigadda,76,BUDDHAPRASAD MANDALI,Janasena Party,21,RAMESH BABU SIMHADRI,Yuvajana Sramika Rythu Congress Party,11,46434,21/21
Badvel,124,DASARI SUDHA,Yuvajana Sramika Rythu Congress Party,11,BOJJA ROSHANNA,Bharatiya Janata Party,8,18567,20/20
Banaganapalle,140,B.C. JANARDHAN REDDY,Telugu Desam,135,KATASANI RAMI REDDY,Yuvajana Sramika Rythu Congress Party,11,25566,24/24
Bapatla,92,VEGESANA NARENDRA VARMA RAJU,Telugu Desam,135,KONA RAGHUPATHI,Yuvajana Sramika Rythu Congress Party,11,27768,15/15
Bhimavaram,59,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Party,21,GRANDHI SRINIVAS,Yuvajana Sramika Rythu Congress Party,11,66974,17/17
Bhimili,20,GANTA SRINIVASA RAO,Telugu Desam,135,MUTTAMSETTI SRINIVASA RAO (AVANTHI SRINIVAS),Yuvajana Sramika Rythu Congress Party,11,92401,26/26
Bobbili,14,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu Desam,135,VENKATA CHINA APPALA NAIDU SAMBANGI,Yuvajana Sramika Rythu Congress Party,11,44648,19/19
Chandragiri,166,VENKATA MANI PRASAD PULLIVARTHI,Telugu Desam,135,CHEVIREDDY MOHITH REDDY,Yuvajana Sramika Rythu Congress Party,11,43852,20/20
Cheepurupalle,15,KALAVENKATARAO KIMIDI,Telugu Desam,135,BOTCHA SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,11,11971,20/20
Chilakaluripet,96,PRATHIPATI PULLARAO,Telugu Desam,135,KAVATI SIVA NAGA MANOHAR NAIDU,Yuvajana Sramika Rythu Congress Party,11,33262,18/18
Chintalapudi,68,ROSHAN KUMAR SONGA,Telugu Desam,135,KAMBHAM VIJAYA RAJU,Yuvajana Sramika Rythu Congress Party,11,27766,20/20
Chirala,106,MADDULURI MALA KONDAIAH,Telugu Desam,135,KARANAM VENKATESH,Yuvajana Sramika Rythu Congress Party,11,20984,16/16
Chittoor,172,GURAJALA JAGAN MOHAN (GJM),Telugu Desam,135,M.C. VIJAYANANDA REDDY,Yuvajana Sramika Rythu Congress Party,11,14604,17/17
Chodavaram,26,SURYA NAGA SANYASI RAJU KALIDINDI,Telugu Desam,135,KARANAM DHARMASRI,Yuvajana Sramika Rythu Congress Party,11,42189,18/18
Darsi,103,BUCHEPALLI SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,11,GOTTIPATI LAKSHMI,Telugu Desam,135,2456,21/21
Denduluru,64,CHINTAMANENI PRABHAKAR,Telugu Desam,135,ABBAYA CHOWDARY KOTHARU,Yuvajana Sramika Rythu Congress Party,11,26266,18/18
Dharmavaram,160,SATYA KUMAR YADAV,Bharatiya Janata Party,8,KETHIREDDY VENKATA RAMI REDDY,Yuvajana Sramika Rythu Congress Party,11,3734,21/21
Dhone,141,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,135,BUGGANA RAJA REDDY,Yuvajana Sramika Rythu Congress Party,11,6049,21/21
Eluru,65,RADHA KRISHNAYYA BADETI,Telugu Desam,135,ALLA KALI KRISHNA SRINIVAS,Yuvajana Sramika Rythu Congress Party,11,62388,16/16
Etcherla,7,ESWARA RAO NADUKUDITI,Bharatiya Janata Party,8,KIRAN KUMAR GORLE,Yuvajana Sramika Rythu Congress Party,11,29089,23/23
Gajapathinagaram,16,KONDAPALLI SRINIVAS,Telugu Desam,135,APPALANARASAYYA BOTCHA,Yuvajana Sramika Rythu Congress Party,11,25301,20/20
Gajuwaka,25,PALLA SRINIVAS RAO,Telugu Desam,135,AVSS AMARNATH GUDIVADA,Yuvajana Sramika Rythu Congress Party,11,95235,22/22
Gangadhara Nellore (SC),171,DR. VM. THOMAS,Telugu Desam,135,K. KRUPALAKSHMI,Yuvajana Sramika Rythu Congress Party,11,26011,20/20
Gannavaram,71,YARLAGADDA VENKATA RAO,Telugu Desam,135,VAMSI VALLABHANENI,Yuvajana Sramika Rythu Congress Party,11,37628,23/23
Gannavaram(SC),46,GIDDI. SATYANARAYANA,Janasena Party,21,VIPPARTHI . VENUGOPALARAO,Yuvajana Sramika Rythu Congress Party,11,33367,19/19
Giddalur,112,ASHOK REDDY MUTHUMULA,Telugu Desam,135,KUNDURU NAGARJUNA REDDY (KP),Yuvajana Sramika Rythu Congress Party,11,973,21/21
Gopalapuram,66,MADDIPATI VENKATA RAJU,Telugu Desam,135,TANETI VANITA,Yuvajana Sramika Rythu Congress Party,11,26784,18/18
Gudivada,72,VENIGANDLA RAMU,Telugu Desam,135,KODALI SRI VENKATESWARA RAO (NANI),Yuvajana Sramika Rythu Congress Party,11,53040,17/17
Gudur,120,PASIM SUNIL KUMAR,Telugu Desam,135,MERIGA MURALIDHAR,Yuvajana Sramika Rythu Congress Party,11,21192,21/21
Guntakal,150,GUMMANUR JAYARAM,Telugu Desam,135,Y. VENKATA RAMA REDDY,Yuvajana Sramika Rythu Congress Party,11,6826,20/20
Guntur East,95,MOHAMMED NASEER AHMED,Telugu Desam,135,NOORI FATHIMA SHAIK,Yuvajana Sramika Rythu Congress Party,11,31962,19/19
Guntur West,94,GALLA MADHAVI,Telugu Desam,135,RAJINI VIDADALA,Yuvajana Sramika Rythu Congress Party,11,51150,21/21
Gurajala,100,YARAPATHINENI SRINIVASA RAO,Telugu Desam,135,KASU MAHESH REDDY,Yuvajana Sramika Rythu Congress Party,11,29486,23/23
Hindupur,157,NANDAMURI BALAKRISHNA,Telugu Desam,135,DEEPIKA T N,Yuvajana Sramika Rythu Congress Party,11,32597,19/19
Ichchapuram,1,ASHOK BENDALAM,Telugu Desam,135,PIRIYA VIJAYA,Yuvajana Sramika Rythu Congress Party,11,39783,22/22
Jaggampeta,52,JYOTHULA NEHRU,Telugu Desam,135,THOTA NARASIMHAM,Yuvajana Sramika Rythu Congress Party,11,52676,18/18
Jaggayyapeta,84,RAJAGOPAL SREERAM (TATAIAH),Telugu Desam,135,UDAYA BHANU SAMINENI,Yuvajana Sramika Rythu Congress Party,11,15977,16/16
Jammalamadugu,131,ADINARAYANA REDDY CHADIPIRALA,Bharatiya Janata Party,8,MULE SUDHEER REDDY,Yuvajana Sramika Rythu Congress Party,11,17191,23/23
Kadapa,126,MADHAVI REDDAPPA GARI,Telugu Desam,135,AMZATH BASHA SHAIK BEPARI,Yuvajana Sramika Rythu Congress Party,11,18860,21/21
Kadiri,161,KANDIKUNTA VENKATA PRASAD,Telugu Desam,135,MAQBOOL B.S.,Yuvajana Sramika Rythu Congress Party,11,6265,21/21
Kaikalur,73,KAMINENI SRINIVAS,Bharatiya Janata Party,8,DULAM NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,11,45273,17/17
Kakinada City,41,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desam,135,DWARAMPUDI CHANDRASEKHARA REDDY,Yuvajana Sramika Rythu Congress Party,11,56572,17/17
Kakinada Rural,38,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena Party,21,KURASALA KANNA BABU,Yuvajana Sramika Rythu Congress Party,11,72040,20/20
Kalyandurg,154,AMILINENI SURENDRA BABU,Telugu Desam,135,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,11,37734,19/19
Kamalapuram,130,KRISHNA CHAITANYA REDDY PUTHA,Telugu Desam,135,POCHIMAREDDY RAVINDRANATH REDDY,Yuvajana Sramika Rythu Congress Party,11,25357,18/18
Kandukur,109,INTURI NAGESWARA RAO,Telugu Desam,135,MADHU SUDHANRAO BURRA,Yuvajana Sramika Rythu Congress Party,11,18558,20/20
Kanigiri,113,DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam,135,DADDALA NARAYANA,Yuvajana Sramika Rythu Congress Party,11,14604,22/22
Kavali,114,DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam,135,RAMIREDDY PRATAP KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,11,30948,24/24
Kodumur (SC),143,BOGGULA DASTAGIRI,Telugu Desam,135,AUDIMULAPU SATHISH,Yuvajana Sramika Rythu Congress Party,11,21583,20/20
Kodur (SC),127,ARAVA SREEDHAR,Janasena Party,21,KORAMUTLA SREENIVASULU,Yuvajana Sramika Rythu Congress Party,11,11101,18/18
Kondapi (SC),110,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desam,135,AUDIMULAPU SURESH,Yuvajana Sramika Rythu Congress Party,11,24756,21/21
Kothapeta,47,BANDARU SATYANANDA RAO,Telugu Desam,135,CHIRLA JAGGIREDDY,Yuvajana Sramika Rythu Congress Party,11,56479,19/19
Kovur,116,PRASHANTHI REDDY VEMIREDDY,Telugu Desam,135,NALLAPAREDDY PRASANNA KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,11,54583,25/25
Kovvur,54,MUPPIDI VENKATESWARA RAO,Telugu Desam,135,TALARI VENKATA RAO,Yuvajana Sramika Rythu Congress Party,11,33946,13/13
Kuppam,175,CHANDRABABU NAIDU NARA,Telugu Desam,135,K.R.J. BHARATH,Yuvajana Sramika Rythu Congress Party,11,48006,18/18
Kurnool,137,T.G.BHARATH,Telugu Desam,135,"A. MD. IMTIAZ I.A.S., (RETD)",Yuvajana Sramika Rythu Congress Party,11,18876,19/19
Kurupam,11,JAGADEESWARI THOYAKA,Telugu Desam,135,PAMULA PUSHPA SREEVANI,Yuvajana Sramika Rythu Congress Party,11,23500,20/20
Macherla,101,JULAKANTI BRAHMANANDA REDDY,Telugu Desam,135,RAMAKRISHNAREDDY. PINNELLI,Yuvajana Sramika Rythu Congress Party,11,33318,24/24
Machilipatnam,75,KOLLU. RAVINDRA,Telugu Desam,135,PERNI KRISHNAMURTHY (KITTU),Yuvajana Sramika Rythu Congress Party,11,50242,15/15
Madakasira (SC),156,M.S.RAJU,Telugu Desam,135,IRALAKKAPPA.S.L,Yuvajana Sramika Rythu Congress Party,11,351,18/18
Madanapalle,164,M.SHAJAHAN BASHA,Telugu Desam,135,S.NISAR AHAMAD,Yuvajana Sramika Rythu Congress Party,11,5509,19/19
Madugula,27,BANDARU SATYANARAYANA MURTHY,Telugu Desam,135,ANURADHA ERLI,Yuvajana Sramika Rythu Congress Party,11,28026,17/17
Mandapeta,48,JOGESWARA RAO.V,Telugu Desam,135,THOTA TRIMURTHULU,Yuvajana Sramika Rythu Congress Party,11,44435,23/23
Mangalagiri,87,NARA LOKESH,Telugu Desam,135,MURUGUDU LAVANYA,Yuvajana Sramika Rythu Congress Party,11,91413,22/22
Mantralayam,145,Y. BALANAGI REDDY,Yuvajana Sramika Rythu Congress Party,11,N. RAGHAVENDRA REDDY,Telugu Desam,135,12805,17/17
Markapuram,111,KANDULA NARAYANA REDDY,Telugu Desam,135,ANNA RAMBABU,Yuvajana Sramika Rythu Congress Party,11,13979,19/19
Mummidivaram,43,DATLA SUBBARAJU (BUCHIBABU),Telugu Desam,135,PONNADA VENKATA SATISH KUMAR,Yuvajana Sramika Rythu Congress Party,11,38736,20/20
Mydukur,133,SUDHAKAR PUTTA,Telugu Desam,135,RAGHURAMI REDDY SETTIPALLY,Yuvajana Sramika Rythu Congress Party,11,20950,21/21
Mylavaram,82,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desam,135,TIRAPATHIRAO SARNALA,Yuvajana Sramika Rythu Congress Party,11,42829,22/22
Nagari,170,GALI BHANU PRAKASH,Telugu Desam,135,R.K. ROJA,Yuvajana Sramika Rythu Congress Party,11,45004,18/18
Nandigama (SC),83,TANGIRALA SOWMYA,Telugu Desam,135,MONDITOKA JAGAN MOHAN RAO,Yuvajana Sramika Rythu Congress Party,11,27395,17/17
Nandikotkur (SC),136,G JAYASURYA,Telugu Desam,135,DARA SUDHEER,Yuvajana Sramika Rythu Congress Party,11,9792,27/27
Nandyal,139,NASYAM MOHAMMED FAROOK,Telugu Desam,135,SILPA RAVI CHANDRA KISHORE REDDY,Yuvajana Sramika Rythu Congress Party,11,12333,21/21
Narasannapeta,8,BAGGU RAMANAMURTHY,Telugu Desam,135,KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party,11,29371,21/21
