,,Party,Won,Total,,,,,
,,Bharatiya Janata Party - BJP,78,78,,,,,
,,Biju Janata Dal - BJD,51,51,,,,,
,,Indian National Congress - INC,14,14,,,,,
,,Communist Party of India  (Marxist) - CPI(M),1,1,,,,,
,,Independent - IND,3,3,,,,,
,,,,,,,,,
,,Total,147,147,,,,,
,,,,,,,,,
,,,,,,,,,
Constituency,Const.no,Leading Candidate,Leading Party,Total party won seats,"Trailing Candidate	",Trailing Party,Total party won seats,Margin,Rounds
Anandapur,22,ABHIMANYU SETHI,Biju Janata Dal,51,JAYADEV JENA,Indian National Congress,14,10966,25/25
Angul,61,PRATAP CHANDRA PRADHAN,Bharatiya Janata Party,78,SANJUKTA SINGH,Biju Janata Dal,51,17433,21/21
Aska,128,SAROJ KUMAR PADHI,Bharatiya Janata Party,78,MANJULA SWAIN,Biju Janata Dal,51,8059,15/15
Athagarh,89,RANENDRA PRATAP SWAIN,Biju Janata Dal,51,ABHAYA KUMAR BARIK,Bharatiya Janata Party,78,3584,19/19
Athamallik,63,NALINI KANTA PRADHAN,Biju Janata Dal,51,SANJEEB KUMAR SAHOO,Bharatiya Janata Party,78,16153,21/21
Attabira,4,NIHAR RANJAN MAHANAND,Bharatiya Janata Party,78,SNEHANGINI CHHURIA,Biju Janata Dal,51,28910,19/19
Aul,98,PRATAP KESHARI DEB,Biju Janata Dal,51,DEBASMITA SHARMA,Indian National Congress,14,19628,32/32
Badasahi,32,SANATAN BIJULI,Bharatiya Janata Party,78,ANASUYA PATRA,Biju Janata Dal,51,37387,20/20
Balasore,38,MANAS KUMAR DUTTA,Bharatiya Janata Party,78,SWARUP KUMAR DAS,Biju Janata Dal,51,28626,18/18
Baliguda,82,CHAKRAMANI KANHAR,Biju Janata Dal,51,UPENDRA PRADHAN,Indian National Congress,14,1671,19/19
Balikuda-Erasama,103,SARADA PRASANNA JENA,Biju Janata Dal,51,SATYA SARATHI MOHANTY,Bharatiya Janata Party,78,25959,18/18
Bangriposi,29,SANJALI MURMU,Bharatiya Janata Party,78,RANJITA MARNDI,Biju Janata Dal,51,34476,26/26
Banki,88,DEVI RANJAN TRIPATHY,Biju Janata Dal,51,TUSARA KANTA CHAKRABARTY,Bharatiya Janata Party,78,17026,18/18
Barabati-Cuttack,90,SOFIA FIRDOUS,Indian National Congress,14,PURNA CHANDRA MAHAPATRA,Bharatiya Janata Party,78,8001,18/18
Barachana,50,AMAR KUMAR NAYAK,Bharatiya Janata Party,78,VARSHA PRIYADARSHINI,Biju Janata Dal,51,6310,19/19
Baramba,87,BIJAYA KUMAR DALABEHERA,Independent,3,DEBIPRASAD MISHRA,Biju Janata Dal,51,23479,22/22
Bargarh,3,ASHWINI KUMAR SARANGI,Bharatiya Janata Party,78,DEBESH ACHARYA,Biju Janata Dal,51,4772,17/17
Bari,49,BISWA RANJAN MALLICK,Biju Janata Dal,51,UMESH CHANDRA JENA,Bharatiya Janata Party,78,51465,19/19
Baripada,33,PRAKASH SOREN,Bharatiya Janata Party,78,SANANDA MARNDI,Biju Janata Dal,51,29385,27/27
Basta,37,SUBASINI JENA,Biju Janata Dal,51,BIJAN NAYAK,Indian National Congress,14,20377,26/26
Basudevpur,45,ASHOK KUMAR DAS,Indian National Congress,14,BISHNUBRATA ROUTRAY,Biju Janata Dal,51,631,21/21
Begunia,116,PRADIP KUMAR SAHU S/O-LAXMIDHAR SAHU,Biju Janata Dal,51,PRAKASHA CHANDRA BIJULI,Bharatiya Janata Party,78,47814,18/18
Berhampur,133,K. ANIL KUMAR,Bharatiya Janata Party,78,DR. RAMESH CHANDRA CHYAU PATNAIK,Biju Janata Dal,51,18709,22/22
Bhadrak,44,SITANSU SEKHAR MOHAPATRA,Bharatiya Janata Party,78,PRAFULLA SAMAL,Biju Janata Dal,51,16068,19/19
Bhandaripokhari,43,SANJIB KUMAR MALLICK,Biju Janata Dal,51,NIRANJAN PATNAIK,Indian National Congress,14,1551,20/20
Bhanjanagar,123,PRADYUMNA KUMAR NAYAK,Bharatiya Janata Party,78,BIKRAM KESHARI ARUKHA,Biju Janata Dal,51,16324,19/19
Bhatli,5,IRASIS ACHARYA,Bharatiya Janata Party,78,SUSANTA SINGH,Biju Janata Dal,51,27892,22/22
Bhawanipatna,80,SAGAR CHARAN DAS,Indian National Congress,14,PRADIPTA KUMAR NAIK,Bharatiya Janata Party,78,13741,21/21
Bhograi,36,GOUTAM BUDDHA DAS,Biju Janata Dal,51,SATYA SHIBA DAS,Indian National Congress,14,6564,26/26
Bhubaneswar Central,112,ANANTA NARAYAN JENA,Biju Janata Dal,51,JAGANNATH PRADHAN,Bharatiya Janata Party,78,37,17/17
Bhubaneswar North,113,SUSANT KUMAR ROUT,Biju Janata Dal,51,PRIYADARSHI MISHRA,Bharatiya Janata Party,78,11343,22/22
Bijepur,2,SANAT KUMAR GARTIA,Bharatiya Janata Party,78,RITA SAHU,Biju Janata Dal,51,10066,22/22
Binjharpur,48,PRAMILA MALLIK,Biju Janata Dal,51,BABITA MALLICK,Bharatiya Janata Party,78,2856,20/20
Biramitrapur,10,ROHIT JOSEPH TIRKEY,Biju Janata Dal,51,SHANKAR ORAM,Bharatiya Janata Party,78,6884,22/22
Birmaharajpur,64,RAGHUNATH JAGADALA,Bharatiya Janata Party,78,PADMANABHA BEHERA,Biju Janata Dal,51,21946,23/23
Bissam Cuttack,139,NILAMADHAB HIKAKA,Indian National Congress,14,JAGANNATH SARAKA,Biju Janata Dal,51,9403,30/30
Bolangir,68,KALIKESH NARAYAN SINGH DEO,Biju Janata Dal,51,SAMARENDRA MISHRA,Indian National Congress,14,13409,20/20
Bonai,14,LAXMAN MUNDA,Communist Party of India  (Marxist),1,BHIMSEN CHOUDHURY,Biju Janata Dal,51,23439,23/23
Boudh,86,SAROJ KUMAR PRADHAN,Bharatiya Janata Party,78,PRADIP KUMAR AMAT,Biju Janata Dal,51,2765,17/17
Brahmagiri,108,UPASNA MOHAPATRA,Bharatiya Janata Party,78,UMAKANTA SAMANTARAY,Biju Janata Dal,51,9830,28/28
Brajarajnagar,6,SURESH PUJARI,Bharatiya Janata Party,78,ALAKA MOHANTY,Biju Janata Dal,51,26789,19/19
Champua,25,SANATAN MAHAKUD,Biju Janata Dal,51,MURALI MANOHAR SHARMA,Bharatiya Janata Party,78,39994,19/19
Chandabali,47,BYOMAKESH RAY,Biju Janata Dal,51,MANMOHAN SAMAL,Bharatiya Janata Party,78,1916,20/20
Chhatrapur,127,KRUSHNA CHANDRA NAYAK,Bharatiya Janata Party,78,SUBASH CHANDRA BEHERA,Biju Janata Dal,51,11438,19/19
Chhendipada,62,AGASTI BEHERA,Bharatiya Janata Party,78,SUSANTA KUMAR BEHERA,Biju Janata Dal,51,15063,20/20
Chikiti,135,MANORANJAN DYAN SAMANTARA,Bharatiya Janata Party,78,CHINMAYANANDA SRIRUP DEB,Biju Janata Dal,51,6522,18/18
Chilika,118,PRITHIVIRAJ HARICHANDAN,Bharatiya Janata Party,78,RAGHUNATH SAHU,Biju Janata Dal,51,4566,18/18
Chitrakonda,147,MANGU KHILLA,Indian National Congress,14,DAMBARU SISA,Bharatiya Janata Party,78,9159,31/31
Choudwar-Cuttack,91,SOUVIC BISWAL,Biju Janata Dal,51,NAYAN KISHORE MOHANTY,Bharatiya Janata Party,78,17816,22/22
Cuttack Sadar,93,PRAKASH CHANDRA SETHI,Bharatiya Janata Party,78,CHANDRA SARATHI BEHERA,Biju Janata Dal,51,3809,26/26
Dabugam,76,MANOHAR RANDHARI,Biju Janata Dal,51,LIPIKA MAJHI,Indian National Congress,14,21455,25/25
Daspalla,121,RAMESH CHANDRA BEHERA,Biju Janata Dal,51,RAGHAB MALIK,Bharatiya Janata Party,78,6296,18/18
Deogarh,19,ROMANCHA RANJAN BISWAL,Biju Janata Dal,51,SUBASH CHANDRA PANIGRAHI,Bharatiya Janata Party,78,15792,27/27
Dhamnagar,46,SURYABANSHI SURAJ STHITAPRAJNA,Bharatiya Janata Party,78,SANJAYA KUMAR DAS,Biju Janata Dal,51,8095,19/19
Dharamgarh,79,SUDHIR RANJAN PATTJOSHI,Bharatiya Janata Party,78,PUSPENDRA SINGH DEO,Biju Janata Dal,51,18927,23/23
Dharmasala,51,HIMANSHU SEKHAR SAHOO F-LATE RAMESH CHANDRA SAHOO,Independent,3,PRANAB KUMAR BALABANTARAY,Biju Janata Dal,51,4150,22/22
Dhenkanal,55,KRUSHNA CHANDRA PATRA,Bharatiya Janata Party,78,SUDHIR KUMAR SAMAL,Biju Janata Dal,51,20439,28/28
Digapahandi,134,SIDHANT MOHAPATRA,Bharatiya Janata Party,78,BIPLAB PATRO,Biju Janata Dal,51,16847,20/20
Ekamra-Bhubaneswar,114,BABU SINGH,Bharatiya Janata Party,78,ASHOK CHANDRA PANDA,Biju Janata Dal,51,5023,21/21
G. Udayagiri,83,PRAFULLA CHANDRA PRADHAN,Indian National Congress,14,MANAGOBINDA PRADHAN,Bharatiya Janata Party,78,7857,23/23
Ghasipura,21,BADRI NARAYAN PATRA,Biju Janata Dal,51,SOUMYA RANJAN PATNAIK,Independent,3,13811,22/22
Gopalpur,132,BIBHUTI BHUSHAN JENA,Bharatiya Janata Party,78,BIKRAM KUMAR PANDA,Biju Janata Dal,51,9062,16/16
Gunupur,138,SATYAJEET GOMANGO,Indian National Congress,14,RAGHUNATH GOMANGO,Biju Janata Dal,51,29885,21/21
Hindol,56,SIMARANI NAYAK,Bharatiya Janata Party,78,MAHESH SAHOO,Biju Janata Dal,51,11827,27/27
Hinjili,131,NAVEEN PATNAIK,Biju Janata Dal,51,SISIR KUMAR MISHRA,Bharatiya Janata Party,78,4636,18/18
Jagatsinghpur,104,AMARENDRA DAS,Bharatiya Janata Party,78,PRASANTA KUMAR MUDULI,Biju Janata Dal,51,22138,22/22
Jajpur,52,SUJATA SAHU,Biju Janata Dal,51,GOUTAM RAY,Bharatiya Janata Party,78,2564,22/22
Jaleswar,35,ASWINI KUMAR PATRA,Biju Janata Dal,51,BRAJAMOHAN PRADHAN,Bharatiya Janata Party,78,319,22/22
Jashipur,26,GANESH RAM SINGKHUNTIA,Bharatiya Janata Party,78,CHAKRADHAR HEMBRAM,Biju Janata Dal,51,34667,21/21
Jatani,115,BIBHUTI BHUSAN BALABANTARAY,Biju Janata Dal,51,BISWARANJAN BADAJENA,Bharatiya Janata Party,78,25221,19/19
Jayadev,111,NABA KISHOR MALLICK,Biju Janata Dal,51,ARABINDA DHALI,Bharatiya Janata Party,78,21473,20/20
Jeypore,143,TARA PRSADA BAHINIPATI,Indian National Congress,14,INDIRA NANDA,Biju Janata Dal,51,13111,24/24
Jharigam,74,NARSING BHATRA,Bharatiya Janata Party,78,RAMESH CHANDRA MAJHI,Biju Janata Dal,51,3278,22/22
Jharsuguda,7,TANKADHAR TRIPATHY,Bharatiya Janata Party,78,DIPALI DAS,Biju Janata Dal,51,1333,19/19
Junagarh,78,DIBYA SHANKAR MISHRA,Biju Janata Dal,51,MANOJ KUMAR MEHER,Bharatiya Janata Party,78,1338,24/24
Kabisuryanagar,125,PRATAP CHANDRA NAYAK,Bharatiya Janata Party,78,LATIKA PRADHAN,Biju Janata Dal,51,30173,21/21
Kakatpur,105,TUSHARKANTI BEHERA,Biju Janata Dal,51,BAIDHAR MALIK,Bharatiya Janata Party,78,23151,28/28
Kamakhyanagar,57,SATRUGHAN JENA,Bharatiya Janata Party,78,PRAFULLA KUMAR MALLIK,Biju Janata Dal,51,4662,25/25
Kantabanji,70,LAXMAN BAG,Bharatiya Janata Party,78,NAVEEN PATNAIK,Biju Janata Dal,51,16344,29/29
Kantamal,85,KANHAI CHARAN DANGA,Bharatiya Janata Party,78,MAHIDHAR RANA,Biju Janata Dal,51,7149,17/17
Karanjia,30,PADMA CHARAN HAIBURU,Bharatiya Janata Party,78,BASANTI HEMBRAM,Biju Janata Dal,51,29499,18/18
Kendrapara,97,GANESWAR BEHERA,Biju Janata Dal,51,GEETANJALI SETHI,Bharatiya Janata Party,78,35418,25/25
Keonjhar,24,MOHAN CHARAN MAJHI,Bharatiya Janata Party,78,MINA MAJHI,Biju Janata Dal,51,11577,21/21
Khalikote,126,PURNA CHANDRA SETHY,Bharatiya Janata Party,78,SURYAMANI BAIDYA,Biju Janata Dal,51,23057,21/21
Khandapada,120,DUSMANTA KUMAR SWAIN,Bharatiya Janata Party,78,SABITRI PRADHAN,Biju Janata Dal,51,7343,16/16
Khariar,72,ADHIRAJ MOHAN PANIGRAHI,Biju Janata Dal,51,HITESH KUMAR BAGARTTI,Bharatiya Janata Party,78,9618,22/22
Khurda,117,PRASANTA KUMAR JAGADEV,Bharatiya Janata Party,78,RAJENDRA KUMAR SAHOO,Biju Janata Dal,51,8598,19/19
Koraput,144,RAGHURAM MACHHA,Bharatiya Janata Party,78,RAGHU RAM PADAL,Biju Janata Dal,51,2524,18/18
Korei,53,AKASH DASNAYAK,Bharatiya Janata Party,78,SANDHYARANI DAS,Biju Janata Dal,51,5646,18/18
Kotpad,142,RUPU BHATRA,Bharatiya Janata Party,78,CHANDRA SEKHAR MAJHI,Biju Janata Dal,51,26264,25/25
Kuchinda,15,RABI NARAYAN NAIK,Bharatiya Janata Party,78,RAJENDRA KUMAR CHHATRIA,Biju Janata Dal,51,32220,28/28
Lakshmipur,141,PABITRA SAUNTA,Indian National Congress,14,PRABHU JANI,Biju Janata Dal,51,21262,19/19
Lanjigarh,77,PRADIP KUMAR DISHARI,Biju Janata Dal,51,BALABHADRA MAJHI,Indian National Congress,14,6501,23/23
Loisingha,66,MUKESH MAHALING,Bharatiya Janata Party,78,NIHAR RANJAN BEHERA,Biju Janata Dal,51,18190,30/30
Mahakalapada,100,DURGA PRASAN NAYAK,Bharatiya Janata Party,78,ATANU SABYASACHI NAYAK,Biju Janata Dal,51,33526,29/29
Mahanga,95,SARADA PRASAD PADHAN,Independent,3,ANKIT PRATAP JENA,Biju Janata Dal,51,7423,26/26
Malkangiri,146,NARASINGA MADKAMI,Bharatiya Janata Party,78,MALA MADHI,Indian National Congress,14,14890,23/23
Mohana,136,DASARATHI GAMANGO,Indian National Congress,14,PRASANTA KUMAR MALLIK,Bharatiya Janata Party,78,4059,31/31
Morada,34,DR. KRUSHNA CHANDRA MAHAPATRA,Bharatiya Janata Party,78,PREETINANDA KANUNGO,Biju Janata Dal,51,33270,23/23
Nabarangpur,75,GOURI SHANKAR MAJHI,Bharatiya Janata Party,78,KAUSALYA PRADHANI,Biju Janata Dal,51,25094,23/23
Narla,81,MANORAMA MOHANTY,Biju Janata Dal,51,BHAKTA CHARAN DAS,Indian National Congress,14,5205,21/21
Nayagarh,122,ARUNA KUMAR SAHOO,Biju Janata Dal,51,PRATYUSHA RAJESHWARI SINGH,Bharatiya Janata Party,78,439,20/20
Niali,92,CHHABI MALIK,Bharatiya Janata Party,78,DR. PRAMOD KUMAR MALLICK,Biju Janata Dal,51,1452,28/28
Nilgiri,40,SANTOSH KHATUA,Bharatiya Janata Party,78,SUKANTA KUMAR NAYAK,Biju Janata Dal,51,19839,17/17
Nimapara,106,PRAVATI PARIDA,Bharatiya Janata Party,78,DILLIP KUMAR NAYAK,Biju Janata Dal,51,4588,28/28
Nuapada,71,RAJENDRA DHOLAKIA,Biju Janata Dal,51,GHASIRAM MAJHI,Independent,3,10881,23/23
Padampur,1,BARSHA SINGH BARIHA,Biju Janata Dal,51,GOBARDHAN BHOY,Bharatiya Janata Party,78,10993,25/25
Pallahara,59,ASHOK MOHANTY,Bharatiya Janata Party,78,MUKESH KUMAR PAL,Biju Janata Dal,51,7563,20/20
Paradeep,101,SAMPAD CHANDRA SWAIN,Bharatiya Janata Party,78,GEETANJALI ROUTRAY,Biju Janata Dal,51,15787,22/22
Paralakhemundi,137,RUPESH KUMAR PANIGRAHI,Biju Janata Dal,51,KODURU NARAYANA RAO,Bharatiya Janata Party,78,3998,29/29
Parjanga,58,BIBHUTI BHUSAN PRADHAN,Bharatiya Janata Party,78,DR. NRUSINGHA CHARAN SAHU,Biju Janata Dal,51,32162,26/26
Patkura,96,ARVIND MOHAPATRA,Biju Janata Dal,51,TEJESWAR PARIDA,Bharatiya Janata Party,78,13822,31/31
Patna,23,AKHILA CHANDRA NAIK,Bharatiya Janata Party,78,JAGANNATH NAIK,Biju Janata Dal,51,37979,20/20
Patnagarh,67,KANAK VARDHAN SINGH DEO,Bharatiya Janata Party,78,SAROJ KUMAR MEHER,Biju Janata Dal,51,1357,26/26
Phulbani,84,UMA CHARAN MALLICK,Bharatiya Janata Party,78,JAYASHREE KANHAR,Biju Janata Dal,51,2858,23/23
Pipili,110,ASHRIT PATTANAYAK,Bharatiya Janata Party,78,RUDRA PRATAP MAHARATHY,Biju Janata Dal,51,15162,28/28
Polasara,124,GOKULANANDA MALLIK,Bharatiya Janata Party,78,SRIKANTA SAHU,Biju Janata Dal,51,20946,22/22
Pottangi,145,RAMA CHANDRA KADAM,Indian National Congress,14,PRAFULLA KUMAR PANGI,Biju Janata Dal,51,1919,20/20
Puri,107,SUNIL KUMAR MOHANTY,Biju Janata Dal,51,JAYANTA KUMAR SARANGI,Bharatiya Janata Party,78,5178,24/24
Raghunathpali,11,DURGA CHARAN TANTI,Bharatiya Janata Party,78,ARCHANA REKHA BEHERA,Biju Janata Dal,51,5774,20/20
Rairakhol,18,PRASANNA ACHARYA,Biju Janata Dal,51,DEBENDRA MOHAPATRA,Bharatiya Janata Party,78,4960,21/21
Rairangpur,28,JALEN NAIK,Bharatiya Janata Party,78,RAISEN MURMU,Biju Janata Dal,51,7693,37/37
Rajanagar,99,DHRUBA CHARAN SAHOO,Biju Janata Dal,51,LALIT KUMAR BEHERA,Bharatiya Janata Party,78,18241,29/29
Rajgangpur,13,C.S. RAAZEN EKKA,Indian National Congress,14,ANIL BARWA,Biju Janata Dal,51,10184,23/23
Ranpur,119,SURAMA PADHY,Bharatiya Janata Party,78,SATYANARAYAN PRADHAN,Biju Janata Dal,51,15544,18/18
Rayagada,140,KADRAKA APPALA SWAMY,Indian National Congress,14,ANUSAYA MAJHI,Biju Janata Dal,51,29186,26/26
Remuna,39,GOBINDA CHANDRA DAS,Bharatiya Janata Party,78,BIDYASMITA MAHALIK,Biju Janata Dal,51,24168,24/24
Rengali,16,SUDARSHAN HARIPAL,Biju Janata Dal,51,NAURI NAYAK,Bharatiya Janata Party,78,3212,20/20
Rourkela,12,SARADA PRASAD NAYAK,Biju Janata Dal,51,DILIP KUMAR RAY,Bharatiya Janata Party,78,3552,15/15
Salipur,94,PRASANTA BEHERA,Biju Janata Dal,51,ARINDAM ROY,Bharatiya Janata Party,78,7594,26/26
Sambalpur,17,JAYANARAYAN MISHRA,Bharatiya Janata Party,78,ROHIT PUJARI,Biju Janata Dal,51,4105,19/19
Sanakhemundi,130,RAMESH CHANDRA JENA,Indian National Congress,14,Sulakshana Geetanjali Devi,Biju Janata Dal,51,10662,29/29
Saraskana,27,BHADAV HANSDAH,Bharatiya Janata Party,78,DEBASHIS MARNDI,Biju Janata Dal,51,13652,34/34
Satyabadi,109,OM PRAKASH MISHRA,Bharatiya Janata Party,78,SANJAY KUMAR DAS BURMA,Biju Janata Dal,51,17708,26/26
Simulia,42,PADMA LOCHAN PANDA,Bharatiya Janata Party,78,SUBASINI SAHOO,Biju Janata Dal,51,13183,25/25
Sonepur,65,NIRANJAN PUJARI,Biju Janata Dal,51,PRAMOD KUMAR MAHAPATRA,Bharatiya Janata Party,78,15239,23/23
Soro,41,MADHAB DHADA,Biju Janata Dal,51,PARSHURAM DHADA,Bharatiya Janata Party,78,802,23/23
Sukinda,54,PRADEEP BAL SAMANTA,Bharatiya Janata Party,78,PRITIRANJAN GHARAI,Biju Janata Dal,51,9577,19/19
Sundargarh,9,JOGESH KUMAR SINGH,Biju Janata Dal,51,KUSUM TETE,Bharatiya Janata Party,78,9122,22/22
Surada,129,NILAMANI BISOYI,Bharatiya Janata Party,78,SANGHAMITRA SWAIN,Biju Janata Dal,51,28224,19/19
Talcher,60,BRAJA KISHORE PRADHAN,Biju Janata Dal,51,KALANDI CHARAN SAMAL,Bharatiya Janata Party,78,32122,17/17
Talsara,8,BHABANI SHANKAR BHOI,Bharatiya Janata Party,78,BINAYA KUMAR TOPPO,Biju Janata Dal,51,17189,20/20
Telkoi,20,DR. FAKIR MOHAN NAIK,Bharatiya Janata Party,78,MADHABA SARDAR,Biju Janata Dal,51,9439,23/23
Tirtol,102,RAMAKANTA BHOI,Biju Janata Dal,51,RAJKISHORE BEHERA,Bharatiya Janata Party,78,28495,20/20
Titlagarh,69,NABIN KUMAR JAIN,Bharatiya Janata Party,78,TUKUNI SAHU,Biju Janata Dal,51,17399,23/23
Udala,31,BHASKAR MADHEI,Bharatiya Janata Party,78,SRINATH SOREN,Biju Janata Dal,51,6517,21/21
Umerkote,73,NITYANANDA GOND,Bharatiya Janata Party,78,NABINA NAYAK,Biju Janata Dal,51,10373,23/23
